"SERIE","NUMERO","REF","RUBRO","DESCRUBRO","IDEAL","DESCIDEAL","VALOR","REAL","DESCREAL","VALREAL","LUGAR","FECHA","PESO","OBSER","TORERO","PREMIOS"
"012345678901","","","","","","","0","","","55","","1993-06-05 00:00:00","0","    LIDIADA EN MARACAY - ESCUELA TAURINA.
  Aparento ser buena. SIN CABALLO, BUENA (A).
    RETIENTA: Aprobada REGULAR (B).","",""
"  S-38","","","","","","","0","","","90","","1993-01-31 00:00:00","0","    FERIA DE TURMERO  AÑO 93
    MANUEL MEDINA  EL RUBI - CALIBRE
  Fue un toro de bandera en todos los tercios, indultado, todavía ì
pudieran estarlo lidiando, dos orejas y rabo. EXCELENTE (AAA).
","",""
