"VARIABLE"
"RAZA"
"CONDICION CORPORAL"
"TIPOLOGÍA"
"LOTE ESTRATÉGICO"
"LOTE DE PASTOREO"
"PROCEDENCIA"
"COLOR DE PELAJE"
"ASOCIACIONES"
"SALA DE ORDEÑO"
"LOTE DE NACIMIENTO"
