"Madre","Fnac","Nombre","Tipologia","Npartos","Nabortos","Nservicios","Lote","Observacion","FaproxParto","IDA","fepre","fecs","FECUP","Vaquera"
"29135","2009-07-31 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29139","2009-08-04 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29140","2009-08-04 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29143","2009-08-04 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29153","2009-08-12 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29156","2009-08-12 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29157R","2009-04-30 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29159","2009-08-17 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29160","2009-08-24 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29161","2009-08-24 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29165","2009-08-17 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29167","2009-08-24 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29168","2009-08-24 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29171","2009-08-17 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29173","2009-08-17 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29174","2009-08-17 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29175","2009-08-17 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"66","2013-01-21 00:00:00","","NOVILLA","","","","","","","0","","","",""
