"Madre","Fnac","Nombre","Tipologia","Npartos","Nabortos","Nservicios","Lote","Observacion","FaproxParto","IDA","fepre","fecs","FECUP","Vaquera"
"D8075","1995-06-21 00:00:00","CRUCIGRAMA","VACA VACIA","1","0","0","8 VENTA","8-98 4-98 OREJA D8075","","0","","","1998-08-18 00:00:00","Rebaño de la Finca"
"D8076","1995-06-22 00:00:00","VENEZUELA","VACA VACIA","1","0","0","10 BRAHMAN","8-98 4-98","","0","","","1999-01-11 00:00:00","Rebaño de la Finca"
"D8077","1995-06-22 00:00:00","MANZANARE","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1998-08-18 00:00:00","Rebaño de la Finca"
"D8082","1995-06-28 00:00:00","ZAMURITA","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1998-05-18 00:00:00","Rebaño de la Finca"
"D8083","1995-06-28 00:00:00","LOTERIA","VACA PREÑADA","1","0","0","7 MATADERO","8-98 4-98","1999-06-01 00:00:00","0","1998-09-04 00:00:00","","1998-08-18 00:00:00","Rebaño de la Finca"
"D8084","1995-06-28 00:00:00","","VACA VACIA SIN CRIA","1","0","0","10 BRAHMAN","8-98 4-98","","0","","","1999-04-17 00:00:00","Rebaño de la Finca"
"D8086","1995-07-04 00:00:00","PAÑUELITO","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1998-09-09 00:00:00","Rebaño de la Finca"
"D8087","1995-07-04 00:00:00","MATA NEGRA","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1998-11-12 00:00:00","Rebaño de la Finca"
"D8088","1995-07-06 00:00:00","VELO NEGRO","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1998-12-30 00:00:00","Rebaño de la Finca"
"D8096","1995-07-29 00:00:00","PAN DE HORNO","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1998-08-18 00:00:00","Rebaño de la Finca"
"D80990","1995-09-08 00:00:00","BARLOVENTO","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1998-11-20 00:00:00","Rebaño de la Finca"
"D8101","1995-09-12 00:00:00","CARTAGENA","VACA PROD.VACIA","1","0","0","8 VENTA","8-98 4-98","","0","","","1998-09-09 00:00:00","Rebaño de la Finca"
"D8103","1995-09-13 00:00:00","CARBONERA","VACA VACIA","1","0","0","8 VENTA","8-98 4-98","","0","","","1998-08-18 00:00:00","Rebaño de la Finca"
"D8107","1995-04-04 00:00:00","PEINETA","VACA PREÑADA","0","0","0","8 VENTA","8-98 4-98","1998-06-08 00:00:00","0","1997-08-27 00:00:00","","1998-06-15 00:00:00","Rebaño de la Finca"
"D8109","1995-09-21 00:00:00","SOMBRILLA","VACA VACIA SIN CRIA","1","0","0","10 BRAHMAN","8-98 4-98","","0","","","1999-01-18 00:00:00","Rebaño de la Finca"
"D8110","1995-09-21 00:00:00","MARIBEL","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98 BR COLORADO","","0","","","1998-11-24 00:00:00","Rebaño de la Finca"
"D8112","1995-09-25 00:00:00","","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98 BR PARDO","","0","","","1998-11-20 00:00:00","Rebaño de la Finca"
"D8113","1995-09-25 00:00:00","NOCHE DE LUNA","VACA VACIA","1","0","0","8 VENTA","8-98 4-98","","0","","","1998-08-18 00:00:00","Rebaño de la Finca"
"D8126","1995-10-06 00:00:00","CAREY","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1998-08-05 00:00:00","Rebaño de la Finca"
"D8128","1995-10-07 00:00:00","","VACA VACIA","1","0","0","8 VENTA","8-98 4-98 BR","","0","","","1998-09-17 00:00:00","Rebaño de la Finca"
"D8130","1995-10-14 00:00:00","VENAITA","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98 BR","","0","","","1998-12-17 00:00:00","Rebaño de la Finca"
"D8131","1995-10-14 00:00:00","MAGALY","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98 BR","","0","","","1998-12-03 00:00:00","Rebaño de la Finca"
"D8132","1995-10-15 00:00:00","ONOTERO","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98 BR","","0","","","1998-12-09 00:00:00","Rebaño de la Finca"
"D8133","1995-10-18 00:00:00","RABO BLANCO","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98 BR","","0","","","1998-12-02 00:00:00","Rebaño de la Finca"
"D8141","1995-10-31 00:00:00","BUENAMOZA","VACA PROD.VACIA","2","0","0","7 MATADERO","8-98 4-98 BR","","0","","","1999-01-09 00:00:00","Rebaño de la Finca"
"D8145","1995-11-14 00:00:00","MANCHITA","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98 BR","","0","","","1998-11-23 00:00:00","Rebaño de la Finca"
"D8146","1995-11-18 00:00:00","CAMPESINA","VACA PROD.VACIA","1","0","0","8 VENTA","8-98 4-98 BR","","0","","","1998-08-18 00:00:00","Rebaño de la Finca"
"D8148","1995-11-23 00:00:00","MONEDITA","VACA PROD.VACIA","1","0","0","8 VENTA","8-98 4-98 BR","","0","","","1998-09-17 00:00:00","Rebaño de la Finca"
"D8150","1995-12-06 00:00:00","JUEGO E´DAMA","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98 BR","","0","","","1998-12-29 00:00:00","Rebaño de la Finca"
"D8153","1995-12-18 00:00:00","TOMASITA","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98 BR","","0","","","1999-01-11 00:00:00","Rebaño de la Finca"
"E8004","1996-01-02 00:00:00","CIGARRON","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98 BR","","0","","","1999-01-04 00:00:00","Rebaño de la Finca"
"E8019","1996-01-24 00:00:00","GUACABA","VACA VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1998-12-07 00:00:00","Rebaño de la Finca"
"E8037","1996-03-01 00:00:00","CAMPO ALEGRE","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 3-97 BR","","0","","","1998-12-19 00:00:00","Rebaño de la Finca"
"22354","2004-09-18 00:00:00","","VACA VACIA","","","","Lote uno","","","0","","","",""
"9206","2001-08-18 00:00:00","","VACA VACIA","","","","Lote uno","","","0","","","",""
"23257","2005-06-15 00:00:00","","VACA VACIA","","","","Lote uno","","","0","","","",""
