"SERIE","NOMB","NOMBRELARGO","SNOM","FECR","FNAC","UBICA","ORIG","CANT","MINI","MAXI","UNID","COSTO","OBSER"
"P-407","P-407","P-407/DD/M","BRAHMAN","1996-11-15 00:00:00","1983-11-11 00:00:00","01-01-01","","","","","","",""
"22222","2222","","MESTIZO HOLSTEIN","2001-08-22 00:00:00","1932-08-19 00:00:00","","","","","","","",""
