"SERIE","LOTE","FINIM","TIEMP","FFINM","TIPOE","TIPOS","CODE","CODS"
"589","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"592","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"6004","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"604","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"6050","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6074","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"6076","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6078","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"6080","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6159","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6191","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6198","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6209","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6217","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6239","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6243","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6286","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6304","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6309","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6324","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6328","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6329","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6500","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"6511","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"6515","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"6516","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"6562","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"66","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"7003","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"7013","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"7014","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"7017","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"7018","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"7103235","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"7510","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"7540","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"7635","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"7660","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"77","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"7737","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"7839","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"7873","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"7889","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"8002","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"8095","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"8099","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"8108","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"8112","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"8118","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"8119","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"8122","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"8130","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"8141","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"85","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"8516","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"8551","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"8554","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"88","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"89","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"895","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"9206","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"9514","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"9546","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
