"COD","LOTE","LOTEI","LOTEF","FECHAI","FECHAF","NANIM","FechaUltimaPesadaLeche","ProduccionPorLote","ProduccionPROMAnimal","AnimalesPreñados","AnimalesVacios","ProduccionPROMPreñada","ProduccionPROMVacia","Comentario"
"LN","_","","","","","0","","0","0","0","0","0","0",""
"","l1","5.5","9.9","","","30","","215.3","23.9222222222222","9","21","7.05555555555555","7.22857142857143",""
