SERIE,FNAC,FECR,TIPO,RAZA,SEXO,COLORPE,OBSER,PROCEDE,ESTADO,PESOI,PRECIO,PPIES,PESACT,FULPES,NPARTO,DPARTO,NSERVI,FECUP,ABORTO,EDADPP,TIPOAP,LOTE,LTEMP,ULTGDP,COD,CODAP,Pa1,Pa2,Pa3,Pa4,UA,EsPajuelaPadre,Vaquera,Historia,NCRIAS,NPARREPOR,NABOREPOR,PESOPP,LPAST,FECS,FECUA,PESDES,COLORBO,COLORMO,CODP,NOMBRE,ASOC1,SERIE1,FECDES,TIPOPS,CODPS,CODM,PAJU,RAZAMADRE,FECNACMADRE,RAZAPADRE,FECNACPADRE,NOMBREP,NOMBREM,NROREGMADRE1,ASOCMADRE1,ASOCPADRE1,NROREGPADRE1,ASOCPADRE2
27253,2007-10-09T00:00:00,2007-10-09T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,28,520000,,200,2008-06-12T00:00:00,,,0,,,,,DOS,,0.696,03,,28,0,0,0,0.5,0,,0,0,0,0,,,2008-07-28T00:00:00,,200,,,8441T,,,,2008-06-12T00:00:00,,,20501,,BRAHMAN,2001-01-11T00:00:00,BRAHMAN,2003-01-01T00:00:00,,,,,,,
27254,2007-10-12T00:00:00,2007-10-12T00:00:00,NOVILLA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,29,806000,,310,2010-04-27T00:00:00,,,0,,,,,VENTA 15 DICIEMBRE 2010,LOTE NOVILLAS 2010,0.19,05,,29,0,0,0,1,0,,0,0,0,0,,,2010-12-15T00:00:00,,180,,,,,,,2008-06-12T00:00:00,,,23136,,BRAHMAN,2003-09-01T00:00:00,,,,,,,,,
27255,2007-10-12T00:00:00,2007-10-12T00:00:00,MAUTA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,27,520000,,200,2008-06-12T00:00:00,,,0,,,,,SEIS,,0.709,04,,27,0,0,0,0.5,0,,0,0,0,0,,,2010-03-31T00:00:00,,200,,,7190T,,,,2008-06-12T00:00:00,,,22202,,BRAHMAN,2002-09-06T00:00:00,BRAHMAN,2000-02-07T00:00:00,HM SAN BLAS 7190,,,,,,
27256,2007-10-12T00:00:00,2007-10-12T00:00:00,VACA VACIA SIN CRIA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,27,741000,,285,2010-04-27T00:00:00,2,684,0,2013-03-27T00:00:00,,03-07,VACA VACIA SIN CRIA,CUATRO,LOTE CUATRO 2012,0.124,13,13,27,0,0,0,1,0,,0,2,2,0,0,,2013-12-13T00:00:00,,200,,,7190T,,,,2008-06-12T00:00:00,,,9197,,BRAHMAN,1999-07-30T00:00:00,BRAHMAN,2000-02-07T00:00:00,HM SAN BLAS 7190,,,,,,
27257,2007-10-13T00:00:00,2007-10-13T00:00:00,MAUTA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,28,416000,,160,2008-06-12T00:00:00,,,0,,,,,SEIS,,0.543,04,,28,0,0,0,0.5,0,,0,0,0,0,,,2010-03-31T00:00:00,,160,,,,,,,2008-06-12T00:00:00,,,24280,,,2004-10-04T00:00:00,,,,,,,,,
27258,2007-10-22T00:00:00,2007-10-22T00:00:00,NOVILLA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,29,780000,,300,2010-04-27T00:00:00,,,0,,,,,VENTA 15 DICIEMBRE 2010,LOTE NOVILLAS 2010,0.205,05,,29,0,0,0,1,0,,0,0,0,0,,,2010-12-15T00:00:00,,160,,,,,,,2008-06-12T00:00:00,,,24103,,BRAHMAN,2004-09-06T00:00:00,,,,,,,,,
27259,2007-10-22T00:00:00,2007-10-22T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,28,468000,,180,2008-06-12T00:00:00,,,0,,,,,SEIS,,0.65,03,,28,0,0,0,0.5,0,,0,0,0,0,,,2008-07-28T00:00:00,,180,,,,,,,2008-06-12T00:00:00,,,24073,,BRAHMAN,2004-08-29T00:00:00,,,,,,,,,
27260,2007-10-22T00:00:00,2007-10-22T00:00:00,BECERRA,BRAHMAN,0,,murio al nacer-RECP TRAB CAM 18/04/09,AGROPECUARIA LA LUNA,CONDICION 1,29,75400,,29,,,,0,,,,,SEIS,,0,02,,0,0,0,0,0.25,0,,0,0,0,0,,,2010-03-31T00:00:00,,,,,,,,,,,,24260,,BRAHMAN,2004-09-30T00:00:00,,,,,,,,,
27261,2007-10-22T00:00:00,2007-10-22T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,29,468000,,180,2008-06-12T00:00:00,,,0,,,,,SEIS,,0.645,03,,29,0,0,0,0.25,0,,0,0,0,0,,,2008-07-28T00:00:00,,180,,,,,,,2008-06-12T00:00:00,,,24064,,BRAHMAN,2004-09-01T00:00:00,,,,,,,,,
27262,2007-10-16T00:00:00,2007-10-16T00:00:00,VACA VACIA SIN CRIA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,28,819000,,315,2010-04-27T00:00:00,2,716,0,2013-02-18T00:00:00,,03-04,VACA VACIA SIN CRIA,CUATRO,LOTE CUATRO 2013,0.197,13,13,28,0,0,0,1,1,,0,2,2,0,0,,2013-12-13T00:00:00,,180,,,725,,,,2008-06-12T00:00:00,,,9061,,BRAHMAN,1999-05-10T00:00:00,BRAHMAN,,,,,,,,
